MEMs,ESMs,Element,LME,NAME,Year,Value
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1971,0
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1972,0.03832359
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1973,7.01536234
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1974,56.79556867
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1975,185.3548587
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1976,431.8548464
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1977,855.1516441
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1978,1498.157164
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1979,2402.074412
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1980,3638.748989
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1981,5268.916024
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1982,7330.359844
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1983,9830.196214
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1984,12751.88496
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1985,16002.72744
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1986,19579.64501
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1987,23298.61614
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1988,27025.89106
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1989,30499.68241
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1990,33795.49648
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1991,36671.22247
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1992,39246.57764
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1993,41189.85954
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1994,42814.6336
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1995,44163.0949
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1996,44997.12278
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1997,45357.73896
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1998,45507.928
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,1999,45698.11775
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,2000,45412.72637
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,2001,44780.41741
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,2002,44303.69412
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,2003,43968.93538
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,2004,43709.27267
boats,gfdl-esm2m,tc_tonnes_year,23,Baltic Sea,2005,43368.18355
