"Year","LME","rec_obs","Source"
1950,"0",27380766.8111044,"WAT"
1951,"0",30209486.7226058,"WAT"
1952,"0",32335109.0451578,"WAT"
1953,"0",32701930.1959351,"WAT"
1954,"0",35770256.1694292,"WAT"
1955,"0",39500076.2804043,"WAT"
1956,"0",44070189.2615241,"WAT"
1957,"0",43896287.9721793,"WAT"
1958,"0",42484652.0161593,"WAT"
1959,"0",47960832.2822205,"WAT"
1960,"0",49477674.0172515,"WAT"
1961,"0",55320560.4353651,"WAT"
1962,"0",59691573.744,"WAT"
1963,"0",64211372.5464521,"WAT"
1964,"0",70564063.1875761,"WAT"
1965,"0",72496536.834521,"WAT"
1966,"0",78201603.716521,"WAT"
1967,"0",82556963.9070586,"WAT"
1968,"0",86850485.1910554,"WAT"
1969,"0",86149169.3111722,"WAT"
1970,"0",93455438.3253086,"WAT"
1971,"0",93274778.8776413,"WAT"
1972,"0",87532864.2341565,"WAT"
1973,"0",88913369.8899969,"WAT"
1974,"0",93883751.4806049,"WAT"
1975,"0",91935671.4959155,"WAT"
1976,"0",96881837.1943763,"WAT"
1977,"0",94979711.2414123,"WAT"
1978,"0",98376542.9484618,"WAT"
1979,"0",96179476.3424125,"WAT"
1980,"0",96784503.2404958,"WAT"
1981,"0",98986088.2401808,"WAT"
1982,"0",101938623.015108,"WAT"
1983,"0",101289145.30712,"WAT"
1984,"0",108060540.629074,"WAT"
1985,"0",110680979.863826,"WAT"
1986,"0",118475123.983492,"WAT"
1987,"0",122465977.390062,"WAT"
1988,"0",126923021.189658,"WAT"
1989,"0",129894625.810686,"WAT"
1990,"0",121561034.588156,"WAT"
1991,"0",121035807.288534,"WAT"
1992,"0",123001392.681453,"WAT"
1993,"0",125715320.377881,"WAT"
1994,"0",134717196.48717,"WAT"
1995,"0",133950938.319088,"WAT"
1996,"0",135745000.59531,"WAT"
1997,"0",136080709.330366,"WAT"
1998,"0",125932326.149855,"WAT"
1999,"0",127077223.79813,"WAT"
2000,"0",125892313.236101,"WAT"
2001,"0",123619882.864846,"WAT"
2002,"0",123803918.197108,"WAT"
2003,"0",119257999.281773,"WAT"
2004,"0",123974222.883946,"WAT"
2005,"0",124293349.08078,"WAT"
2006,"0",125728967.224243,"WAT"
2007,"0",122303174.179241,"WAT"
2008,"0",122913139.678262,"WAT"
2009,"0",121961455.81818,"WAT"
2010,"0",118374460.592616,"WAT"
2011,"0",126082003.826329,"WAT"
2012,"0",122375316.759505,"WAT"
2013,"0",125597570.68973,"WAT"
2014,"0",124460806.264614,"WAT"
