"Year","LME","rec_obs","Source"
1950,1,299295.193412712,"WAT"
1950,2,868509.018328091,"WAT"
1950,3,729099.303726768,"WAT"
1950,4,40320.1194849722,"WAT"
1950,5,1065400.21544678,"WAT"
1950,6,440137.410621068,"WAT"
1950,7,1408462.35547941,"WAT"
1950,8,345046.61727384,"WAT"
1950,9,705011.852303599,"WAT"
1950,10,50362.9393066991,"WAT"
1950,11,64336.8869548377,"WAT"
1950,12,189314.127714351,"WAT"
1950,13,406553.020425668,"WAT"
1950,14,80777.8544305671,"WAT"
1950,15,145688.392342398,"WAT"
1950,16,185048.237732517,"WAT"
1950,17,165501.255723434,"WAT"
1950,18,908783.934840717,"WAT"
1950,19,522981.876989876,"WAT"
1950,20,1116024.47225048,"WAT"
1950,21,272334.293144655,"WAT"
1950,22,1450516.38739816,"WAT"
1950,23,246641.881942075,"WAT"
1950,24,457953.062319868,"WAT"
1950,25,228573.280758055,"WAT"
1950,26,1090208.36004798,"WAT"
1950,27,306040.659863379,"WAT"
1950,28,319993.52914166,"WAT"
1950,29,431614.754086924,"WAT"
1950,30,281996.785226975,"WAT"
1950,31,43636.9169569276,"WAT"
1950,32,1226400.4468803,"WAT"
1950,33,37429.2262567956,"WAT"
1950,34,1462923.83539095,"WAT"
1950,35,586622.257740861,"WAT"
1950,36,1228267.43258236,"WAT"
1950,37,288223.820623663,"WAT"
1950,38,232867.842138525,"WAT"
1950,39,44.4053895355465,"WAT"
1950,40,10392.5709345296,"WAT"
1950,41,3523.05714942191,"WAT"
1950,42,7271.69527709627,"WAT"
1950,43,7731.7734464292,"WAT"
1950,44,12051.2023218578,"WAT"
1950,45,6545.16373978702,"WAT"
1950,46,43814.939027999,"WAT"
1950,47,1183931.30972317,"WAT"
1950,48,1241772.92668864,"WAT"
1950,49,415634.357762542,"WAT"
1950,50,683105.828532572,"WAT"
1950,51,140543.477123547,"WAT"
1950,52,774601.601074022,"WAT"
1950,53,185838.587584394,"WAT"
1950,54,257504.24183034,"WAT"
1950,55,77982.8504173311,"WAT"
1950,56,40326.24504113,"WAT"
1950,57,4979.79146591391,"WAT"
1950,58,13861.6053534737,"WAT"
1950,59,549603.214286742,"WAT"
1950,60,12714.3538920421,"WAT"
1950,61,110935.529297441,"WAT"
1950,62,356356.917913553,"WAT"
1950,63,11401.1536566821,"WAT"
1950,64,3.50981997969938,"WAT"
1950,65,90743.7143642693,"WAT"
1950,66,60316.2494693912,"WAT"
1951,1,334380.822253381,"WAT"
1951,2,871344.516666012,"WAT"
1951,3,456701.978554597,"WAT"
1951,4,39505.3699420324,"WAT"
1951,5,1145418.90919765,"WAT"
1951,6,431523.154914527,"WAT"
1951,7,1371350.53732166,"WAT"
1951,8,334030.290573703,"WAT"
1951,9,686145.400640204,"WAT"
1951,10,30267.6948977028,"WAT"
1951,11,102875.324679309,"WAT"
1951,12,176576.577645533,"WAT"
1951,13,441144.037232383,"WAT"
1951,14,97544.930887439,"WAT"
1951,15,156495.759269898,"WAT"
1951,16,181839.803034147,"WAT"
1951,17,174745.851901873,"WAT"
1951,18,878395.818768788,"WAT"
1951,19,543684.533120694,"WAT"
1951,20,1466777.87790081,"WAT"
1951,21,340014.93837244,"WAT"
1951,22,1883864.13611511,"WAT"
1951,23,263451.221549558,"WAT"
1951,24,497394.634142691,"WAT"
1951,25,217262.686137569,"WAT"
1951,26,1164612.81383351,"WAT"
1951,27,283730.102439209,"WAT"
1951,28,321185.567779522,"WAT"
1951,29,628667.611188712,"WAT"
