"Year","LME","rec_obs","Source"
1950,"0",26232432.1298727,"WAT"
1951,"0",29004156.4574046,"WAT"
1952,"0",30904181.5419453,"WAT"
1953,"0",31269587.2429096,"WAT"
1954,"0",34096853.6654712,"WAT"
1955,"0",37962475.479793,"WAT"
1956,"0",42299232.5567698,"WAT"
1957,"0",42143759.4503041,"WAT"
1958,"0",40799095.0905118,"WAT"
1959,"0",46090555.0627187,"WAT"
1960,"0",47643069.8269135,"WAT"
1961,"0",53151071.2956337,"WAT"
1962,"0",57303900.6194611,"WAT"
1963,"0",61602735.9877749,"WAT"
1964,"0",67611927.3386874,"WAT"
1965,"0",69408263.5569744,"WAT"
1966,"0",74941351.5622116,"WAT"
1967,"0",78897999.0690647,"WAT"
1968,"0",82913462.4290164,"WAT"
1969,"0",81920900.5070733,"WAT"
1970,"0",87915790.5516838,"WAT"
1971,"0",88261199.6054542,"WAT"
1972,"0",81991362.4883922,"WAT"
1973,"0",83031504.3365482,"WAT"
1974,"0",87819198.9319079,"WAT"
1975,"0",86248905.6842195,"WAT"
1976,"0",90910085.4097282,"WAT"
1977,"0",87925195.4789616,"WAT"
1978,"0",90323202.5397247,"WAT"
1979,"0",88808777.7885255,"WAT"
1980,"0",89234044.4822095,"WAT"
1981,"0",92056185.2379495,"WAT"
1982,"0",94962251.4198715,"WAT"
1983,"0",94568963.715689,"WAT"
1984,"0",100527623.911611,"WAT"
1985,"0",103427677.679992,"WAT"
1986,"0",110336122.715055,"WAT"
1987,"0",114185540.600521,"WAT"
1988,"0",118296287.656252,"WAT"
1989,"0",121498587.714455,"WAT"
1990,"0",112517851.470227,"WAT"
1991,"0",111737071.33291,"WAT"
1992,"0",114570216.75646,"WAT"
1993,"0",117340626.967377,"WAT"
1994,"0",126327796.377401,"WAT"
1995,"0",125000256.293775,"WAT"
1996,"0",126276598.370249,"WAT"
1997,"0",126255565.324828,"WAT"
1998,"0",116423520.327722,"WAT"
1999,"0",117031851.227701,"WAT"
2000,"0",116653923.786495,"WAT"
2001,"0",114243053.202411,"WAT"
2002,"0",115067166.737361,"WAT"
2003,"0",110164338.656065,"WAT"
2004,"0",114480735.0135,"WAT"
2005,"0",114136643.781788,"WAT"
2006,"0",115609023.464843,"WAT"
2007,"0",112721303.698477,"WAT"
2008,"0",112917837.657606,"WAT"
2009,"0",112285996.56275,"WAT"
2010,"0",108483974.543088,"WAT"
2011,"0",116087662.285548,"WAT"
2012,"0",112034405.55841,"WAT"
2013,"0",115091242.223797,"WAT"
2014,"0",112846215.510559,"WAT"
